刱	(剏|創|刱|刅|创|剙|戧|戗)
刴	(剁|刴)
制	(製|制)
刷	(㕞|刷)
券	(劵|券)
刹	(剎|刹)
刺	(刾|莿|刺|㓨|刺|朿)
刼	(劫|刦|刧|刼)
刽	(劊|刽)
刾	(㓨|刺|刾|莿|刺|朿)
刿	(劌|刿)
剀	(剴|剀)
剁	(刴|剁)
剂	(劑|剂|剤)
剃	(鬀|剃)
剄	(刭|剄)
則	(则|則)
剉	(銼|剉|锉)
剋	(克|尅|剋)
剌	(巤|剌|鬣)
剎	(刹|剎)
剏	(刱|剏|創|刅|创|剙|戧|戗)
剐	(剮|剐)
剑	(劍|剑|剣|剱|劒|劔|釖|釼|劎)
剗	(刬|剷|鏟|剗|铲)
剙	(創|刅|创|刱|剙|戧|剏|戗)
剛	(刚|剛)
剝	(剥|剝)
剣	(劍|剑|剣|剱|劒|劔|釖|釼|劎)
剤	(劑|剂|剤)
剥	(剝|剥)
剦	(閹|剦|阉)
剧	(劇|剧)
剩	(剰|賸|剩)
剪	(翦|剪)
剮	(剐|剮)
剰	(剩|剰|賸)
剱	(劍|剑|剣|剱|劒|劔|釖|釼|劎)
剳	(劄|箚|剳|札)
剴	(剀|剴)
創	(刅|创|刱|剙|戧|創|剏|戗)
剷	(剗|鏟|刬|剷|铲)
剾	(𠛅|剾)
剿	(勦|𠞰|剿)
劃	(划|劃)
劄	(剳|劄|箚|札)
劆	(鐮|劆|鎌|镰)
劇	(剧|劇)
劈	(擗|劈)
劉	(刘|劉|劉)
劊	(刽|劊)
劌	(刿|劌)
劍	(剑|剣|剱|劒|劔|釖|釼|劍|劎)
劎	(劔|劍|劎|剑|剣|剱|劒|釖|釼)
劏	(㓥|劏)
劑	(剂|剤|劑)
劒	(劍|剑|剣|剱|劒|劔|釖|釼|劎)
劓	(㓷|劓)
劔	(劍|劎|剑|剣|剱|劒|劔|釖|釼)
劚	(㔉|劚)
力	(力|力)
劝	(勸|劝|勧)
办	(辦|办)
务	(務|务)
劢	(勱|勵|劢|励|勵)
劣	(劣|劣)
动	(動|动)
劫	(刦|刧|刼|劫)
励	(勵|劢|励|勵|勱)
劲	(勁|俓|劲|徑|径|迳|逕)
劳	(勞|劳|労|勞)
労	(勞|劳|労|勞)
劵	(券|劵)
効	(效|俲|効)
势	(勢|势)
勁	(俓|劲|徑|勁|径|迳|逕)
勃	(艴|勃)
勄	(敏|勄)
勅	(勑|敕|倈|勅|徠|俫|來|徕|来|耒|來)
勋	(勛|勋|勲|勳)
勑	(倈|勅|徠|敕|俫|勑|來|徕|来|耒|來)
勒	(勒|勒)
動	(动|動)
勖	(勗|勖|朂)
勗	(勖|朂|勗)
務	(务|務)
勚	(勩|勚)
勛	(勋|勲|勳|勛)
勝	(胜|勝)
勞	(劳|労|勞|勞)
勢	(势|勢)
勤	(懃|勤)
勦	(剿|勦|𠞰)
勧	(勸|劝|勧)
勩	(勚|勩)
勰	(協|恊|脅|勰|协|旪|胁|脇)
勱	(劢|勱|勵|励|勵)
勲	(勛|勋|勲|勳)
勳	(勛|勋|勲|勳)
勵	(劢|励|勵|勱|勵)
勸	(劝|勧|勸)
勹	(包|勹)
勻	(匀|勻)
勽	(㲒|菢|勽)
勾	(句|勾|句)
匀	(勻|匀)
匃	(丐|匄|匃)
匄	(匃|丐|匄)
包	(勹|包)
匆	(怱|悤|匆)
匈	(胷|胸|匈)
匊	(掬|匊)
匋	(陶|匋)
匏	(瓟|匏)
北	(北|北)
匘	(腦|匘|脑|脳)
匙	(鍉|匙)
匝	(帀|迊|匝)
匦	(匭|匦)
匧	(篋|匧|箧)
匭	(匦|匭)
匮	(匱|匮|樻|櫃|鐀|饋|柜|餽|馈)
匯	(汇|滙|匯|彙|彚)
匱	(匮|樻|櫃|鐀|饋|匱|柜|餽|馈)
匳	(奩|匳|奁)
匵	(櫝|匵|椟)
匹	(疋|匹)
区	(區|区)
医	(醫|医)
匿	(匿|匿)
區	(区|區)
十	(拾|拾|十)
千	(仟|千|阡)
卄	(廿|卄|廾)
卆	(卒|䘚|卆)
升	(昇|陞|升)
卉	(芔|卉)
卋	(世|丗|卋)
卌	(𠦌|𠦜|卌)
卍	(万|卐|萬|卍)
华	(華|华|崋|蕐)
协	(協|勰|协|恊|旪|脅|胁|脇)
